batchsize,depth,entangler_operation,have_less_rotations,input_activation_function,is_data_encoding_hardware_efficient,learning_rate,map_type,output_circuit,use_reuploading,dataset,task_id,val_binary_accuracy,val_auc
16,1,sqiswap,True,linear,False,0.00012185046162318633,full,2Z,True,diabetes,37,0.6510594606399536,0.5325868874788284
16,1,sqiswap,True,linear,False,0.00014056856085541136,ring,mZ,False,ilpd,9971,0.7135593116283416,0.47795857191085817
16,1,sqiswap,True,linear,False,0.00025680730675640886,ring,mZ,False,phoneme,9952,0.7055880725383759,0.546096283197403
16,1,sqiswap,True,linear,False,0.0005571796758720934,pairs,2Z,False,wilt,146820,0.9256040096282959,0.733497804403305
16,1,sqiswap,True,linear,False,0.0005996666417266636,full,2Z,True,phoneme,9952,0.7041120767593384,0.5968945443630218
16,1,sqiswap,True,linear,False,0.0010334578986454248,pairs,2Z,True,blood-transfusion-service-center,10101,0.7407027125358582,0.5748623996973038
16,1,sqiswap,True,linear,False,0.0013953031134292927,pairs,2Z,False,blood-transfusion-service-center,10101,0.754036033153534,0.5690889775753021
16,1,sqiswap,True,linear,False,0.0024393660372177928,full,mZ,True,wilt,146820,0.9398653507232666,0.46738155484199523
16,1,sqiswap,True,linear,False,0.00280301975544662,pairs,2Z,True,blood-transfusion-service-center,10101,0.7460540533065796,0.5549334973096848
16,1,sqiswap,True,linear,False,0.0050463617946110055,pairs,2Z,False,banknote-authentication,10093,0.6261080980300904,0.6837753295898438
16,1,sqiswap,True,linear,False,0.017297185731138854,full,2Z,True,diabetes,37,0.6523581624031067,0.5585170954465866
16,1,sqiswap,True,linear,False,0.018808374000799054,ring,mZ,False,phoneme,9952,0.7048473298549652,0.5494833052158355
16,1,sqiswap,True,linear,False,0.025653469678815637,full,mZ,False,wilt,146820,0.8532732725143433,0.47210036814212797
16,1,sqiswap,True,linear,False,0.04761536957616471,full,mZ,False,phoneme,9952,0.7007732689380646,0.5847542583942413
16,1,sqiswap,True,linear,False,0.05229200347081859,ring,2Z,True,banknote-authentication,10093,0.7186871945858002,0.7741948902606964
16,1,sqiswap,True,linear,False,0.07880616542232814,pairs,mZ,False,diabetes,37,0.6536739528179168,0.5341894626617432
16,1,sqiswap,True,linear,False,0.0926296381476223,ring,2Z,True,wilt,146820,0.8400462746620179,0.6517486095428466
16,1,sqiswap,True,linear,False,0.0951365025722337,pairs,mZ,False,breast-w,15,0.7067287802696228,0.8040275812149048
16,1,sqiswap,True,linear,True,0.00011020199442187716,pairs,2Z,True,breast-w,15,0.7454658389091492,0.9776862680912017
16,1,sqiswap,True,linear,True,0.00012837027930446857,pairs,mZ,False,breast-w,15,0.6552174091339111,0.8239658892154693
16,1,sqiswap,True,linear,True,0.00021450561798890715,full,mZ,False,breast-w,15,0.6595031201839447,0.9132512152194977
16,1,sqiswap,True,linear,True,0.00037817543233949007,ring,2Z,False,phoneme,9952,0.7483353912830353,0.8258490622043609
16,1,sqiswap,True,linear,True,0.0003892566481412405,ring,mZ,True,wilt,146820,0.945650053024292,0.5133557111024857
16,1,sqiswap,True,linear,True,0.0004512524213738861,ring,2Z,True,banknote-authentication,10093,0.8134560465812684,0.9280049979686738
16,1,sqiswap,True,linear,True,0.00249024205018724,pairs,mZ,True,diabetes,37,0.6562542676925659,0.6336338937282562
16,1,sqiswap,True,linear,True,0.023129061302552278,ring,mZ,True,banknote-authentication,10093,0.7463609516620636,0.8614056646823883
16,1,sqiswap,True,linear,True,0.023495629850961177,ring,2Z,True,phoneme,9952,0.772389954328537,0.8540904879570007
16,1,sqiswap,True,linear,True,0.027230120675186226,full,mZ,True,phoneme,9952,0.6967104852199555,0.7258527517318726
16,1,sqiswap,True,linear,True,0.03121694094476506,full,2Z,False,diabetes,37,0.6914730072021484,0.686981475353241
16,1,sqiswap,True,linear,True,0.033892192822159516,ring,mZ,True,wilt,146820,0.8656750977039337,0.42285429537296293
16,1,sqiswap,True,linear,True,0.07043121816202147,ring,mZ,False,diabetes,37,0.6471633553504944,0.629176664352417
